site,date_sampled,time_sampled,tag_no,bag_no,gps_id,collected_by,basket_no,date_CBASS,depth_ft,camera_id,note
mahana,20221203,11:58,1,1,Shedd1,RC/SM,1,20221204,,,
mahana,20221203,12:11,2,2,Shedd1,RC/SM,2,20221204,,,
mahana,20221203,12:20,3,3,Shedd1,RC/SM,3,20221204,,,
mahana,20221203,12:28,4,4,Shedd1,RC/SM,4,20221204,,,
mahana,20221203,12:38,5,5,Shedd1,RC/SM,5,20221204,,,
mahana,20221203,12:49,6,6,Shedd1,RC/SM,6,20221204,,,
mahana,20221203,12:56,7,7,Shedd1,RC/SM,7,20221204,,,
mahana,20221203,13:03,8,8,Shedd1,RC/SM,8,20221204,,,
mahana,20221203,13:10,9,9,Shedd1,RC/SM,9,20221204,,,
mahana,20221203,13:19,10,10,Shedd1,RC/SM,10,20221204,,,
mahana,20221203,12:02,11,11,Shedd3,HP/PH,11,20221204,,,
mahana,20221203,12:13,12,12,Shedd3,HP/PH,12,20221204,,,
mahana,20221203,12:22,13,13,Shedd3,HP/PH,13,20221204,,,
mahana,20221203,12:30,14,14,Shedd3,HP/PH,14,20221204,,,
mahana,20221203,12:36,15,15,Shedd3,HP/PH,15,20221204,,,
mahana,20221203,12:43,16,16,Shedd3,HP/PH,16,20221204,,,
mahana,20221203,12:49,17,17,Shedd3,HP/PH,17,20221204,,,
mahana,20221203,12:54,18,18,Shedd3,HP/PH,18,20221204,,,
mahana,20221203,13:02,19,19,Shedd3,HP/PH,19,20221204,,,
mahana,20221203,13:12,20,20,Shedd3,HP/PH,20,20221204,,,
mahana,20221204,14:48,41,31,Shedd1,SM,47,20221205,,,
mahana,20221204,14:59,42,32,Shedd1,SM,51,20221205,,,
mahana,20221204,15:06,43,33,Shedd1,SM,72,20221205,,,
mahana,20221204,15:15,44,34,Shedd1,SM,35,20221205,,,
mahana,20221204,15:20,45,35,Shedd1,SM,54,20221205,,,
mahana,20221204,15:26,46,36,Shedd1,SM,57,20221205,,,
mahana,20221204,15:32,47,37,Shedd1,SM,61,20221205,,,
mahana,20221204,15:38,48,38,Shedd1,SM,93,20221205,,,
mahana,20221204,15:43,49,39,Shedd1,SM,44,20221205,,,
mahana,20221204,15:48,50,40,Shedd1,SM,40,20221205,,,
mahana,20221204,15:56,21,11,Shedd1,SM,85,20221205,,,
mahana,20221204,16:09,23,12,Shedd1,SM,29,20221205,,,
mahana,20221204,16:13,24,20,Shedd1,SM,50,20221205,,,
mahana,20221204,16:16,25,13,Shedd1,SM,24,20221205,,,
mahana,20221204,16:20,26,19,Shedd1,SM,32,20221205,,,
mahana,20221204,16:23,27,16,Shedd1,SM,22,20221205,,,
mahana,20221204,16:26,28,14,Shedd1,SM,66,20221205,,,
mahana,20221204,16:30,29,15,Shedd1,SM,23,20221205,,,
mahana,20221204,16:34,30,18,Shedd1,SM,55,20221205,,,
mahana,20221204,14:51,51,1,Shedd3,HP/PH,99,20221205,,,
mahana,20221204,14:56,52,2,Shedd3,HP/PH,95,20221205,,,
mahana,20221204,14:59,53,3,Shedd3,HP/PH,88,20221205,,,
mahana,20221204,15:02,54,4,Shedd3,HP/PH,96,20221205,,,
mahana,20221204,15:05,55,5,Shedd3,HP/PH,48,20221205,,,
mahana,20221204,15:10,56,6,Shedd3,HP/PH,73,20221205,,,
mahana,20221204,15:13,57,7,Shedd3,HP/PH,87,20221205,,,
mahana,20221204,15:18,58,8,Shedd3,HP/PH,21,20221205,,,
mahana,20221204,15:19,59,9,Shedd3,HP/PH,49,20221205,,,
mahana,20221204,15:22,60,10,Shedd3,HP/PH,52,20221205,,,
mahana,20221204,15:28,31,21,Shedd3,HP/PH,16,20221205,,,
mahana,20221204,15:31,32,22,Shedd3,HP/PH,46,20221205,,,
mahana,20221204,15:35,33,23,Shedd3,HP/PH,20,20221205,,,
mahana,20221204,15:39,34,24,Shedd3,HP/PH,43,20221205,,,
mahana,20221204,15:41,35,25,Shedd3,HP/PH,37,20221205,,,
mahana,20221204,15:46,36,26,Shedd3,HP/PH,42,20221205,,,
mahana,20221204,15:51,37,27,Shedd3,HP/PH,26,20221205,,,
mahana,20221204,15:54,38,28,Shedd3,HP/PH,45,20221205,,,
